mass__g_,reclat,reclong
177.0,26.77167,16.11133
1126.0,27.09917,16.14033
103.0,27.15467,16.079
77.0,27.2915,16.21333
118.0,27.20217,16.05833
60.0,27.41217,16.20183
347.0,27.4665,15.914
490.0,27.59467,15.9365
115.0,27.45467,16.08733
1555.0,27.4475,15.985
260.0,26.85483,15.97533
53.0,27.39783,16.16317
75.0,27.5825,15.98333
319.0,27.8315,15.87433
16.0,27.26683,16.06683
850.0,26.99167,15.7745
415.0,27.25283,16.07167
103.0,27.26683,16.06683
51.0,27.26683,16.06683
281.0,27.0555,16.136
269.0,27.31033,16.2325
454.0,27.20333,16.08183
83.52,27.20117,16.3175
180.0,26.979,16.31083
44000.0,26.85,16.73333
233.0,27.35167,16.23567
159.0,27.0555,16.05067
41.0,27.15233,16.33733
8170.0,26.95,16.15
2478.0,26.8,16.06667
564.0,27.08333,16.08333
252.0,27.1,16.36667
146.0,26.93333,16.41667
247.0,27.31667,16.28333
20500.0,27.08167,16.28333
1806.0,26.9705,16.53717
148.0,27.27767,16.23717
100.0,27.1,16.1
286.0,27.13333,16.11667
828.0,27.0345,16.14283
9000.0,27.88083,16.9135
106.0,27.21667,16.15
93.0,27.08333,16.25
170.0,27.08333,16.06667
50.5,27.125,16.34533
164.0,26.96583,16.348
93.0,26.83733,16.61367
1270.0,29.57889,11.74944
250.0,29.46556,11.43333
2100.0,29.56306,12.03083
700.0,29.41917,12.125
226.0,29.41278,11.95333
85.0,29.62667,11.69389
483.0,29.30222,11.91639
313.0,29.53333,12.26667
228.0,29.58333,11.78333
374.0,29.58333,11.78333
3770.0,29.00833,-97.70556
4.5,-30.88333,128.975
127.9,-30.47,128.745
604.0,33.51667,-95.3
65.0,18.20167,54.13667
1070.0,18.36667,54.23667
22.0,18.99333,54.415
1736.0,18.16,54.13833
1177.0,19.1575,54.81967
985.0,19.14217,54.78683
8852.0,19.17067,54.75967
229.0,19.18217,54.6445
10083.0,19.15867,54.731
2005.0,19.16717,54.781
580.0,19.16017,54.8035
112.0,19.2375,54.72
78.0,19.21233,54.8475
664.0,19.23233,54.81117
690.0,18.26117,54.32483
44.0,18.73683,54.51133
527.35,18.48778,54.18085
2298.4,18.55417,54.00253
273.3,19.17203,54.79462
316.0,19.091944,54.805556
3420.0,19.223306,54.935778
487.0,18.60833,54.55167
108.0,18.751639,54.352361
35.0,19.13667,54.56333
124.0,19.01677,54.36637
240.0,18.97817,54.61667
1088.0,18.895667,54.343556
1349.0,19.29133,54.8345
90.0,19.32865,54.53763
204.0,19.29105,54.5635
1495.0,18.33233,54.2615
1400.0,18.68517,54.44203
356.0,19.24633,54.70667
450.0,18.732,54.3845
1490.0,18.6845,54.53967
6476.0,18.77633,54.39633
71.1,19.56755,54.95415
487.0,19.0095,54.50217
3045.0,18.18467,54.58917
1614.0,18.26667,54.425
1734.0,18.222,54.31783
1013.0,18.5745,54.59033
380.0,18.585,54.28
624.0,18.59083,54.543
1006.0,18.85033,54.3845
605.0,18.64717,54.52833
